ubica_geo,entidad,desc_ent,municipio,desc_mun,key
1001,1,Aguascalientes,1,Aguascalientes,Aguascalientes-Aguascalientes
1002,1,Aguascalientes,2,Asientos,Asientos-Aguascalientes
1003,1,Aguascalientes,3,Calvillo,Calvillo-Aguascalientes
1005,1,Aguascalientes,5,Jesus Maria,Jesus Maria-Aguascalientes
1006,1,Aguascalientes,6,Pabellon De Arteaga,Pabellon De Arteaga-Aguascalientes
1007,1,Aguascalientes,7,Rincon De Romos,Rincon De Romos-Aguascalientes
1008,1,Aguascalientes,8,San Jose De Gracia,San Jose De Gracia-Aguascalientes
1009,1,Aguascalientes,9,Tepezala,Tepezala-Aguascalientes
1010,1,Aguascalientes,10,El Llano,El Llano-Aguascalientes
1011,1,Aguascalientes,11,San Francisco De Los Romo,San Francisco De Los Romo-Aguascalientes
2001,2,Baja California,1,Ensenada,Ensenada-Baja California
2002,2,Baja California,2,Mexicali,Mexicali-Baja California
2003,2,Baja California,3,Tecate,Tecate-Baja California
2004,2,Baja California,4,Tijuana,Tijuana-Baja California
2005,2,Baja California,5,Playas De Rosarito,Playas De Rosarito-Baja California
2006,2,Baja California,6,San Quintin,San Quintin-Baja California
3001,3,Baja California Sur,1,Comondu,Comondu-Baja California Sur
3002,3,Baja California Sur,2,Mulege,Mulege-Baja California Sur
3003,3,Baja California Sur,3,La Paz,La Paz-Baja California Sur
3008,3,Baja California Sur,8,Los Cabos,Los Cabos-Baja California Sur
3009,3,Baja California Sur,9,Loreto,Loreto-Baja California Sur
4001,4,Campeche,1,Calkini,Calkini-Campeche
4002,4,Campeche,2,Campeche,Campeche-Campeche
4003,4,Campeche,3,Carmen,Carmen-Campeche
4004,4,Campeche,4,Champoton,Champoton-Campeche
4005,4,Campeche,5,Hecelchakan,Hecelchakan-Campeche
4006,4,Campeche,6,Hopelchen,Hopelchen-Campeche
4008,4,Campeche,8,Tenabo,Tenabo-Campeche
4009,4,Campeche,9,Escarcega,Escarcega-Campeche
4010,4,Campeche,10,Calakmul,Calakmul-Campeche
4011,4,Campeche,11,Candelaria,Candelaria-Campeche
4012,4,Campeche,12,Seybaplaya,Seybaplaya-Campeche
5001,5,Coahuila de Zaragoza,1,Abasolo,Abasolo-Coahuila de Zaragoza
5002,5,Coahuila de Zaragoza,2,Acuña,Acuña-Coahuila de Zaragoza
5003,5,Coahuila de Zaragoza,3,Allende,Allende-Coahuila de Zaragoza
5004,5,Coahuila de Zaragoza,4,Arteaga,Arteaga-Coahuila de Zaragoza
5006,5,Coahuila de Zaragoza,6,Castaños,Castaños-Coahuila de Zaragoza
5007,5,Coahuila de Zaragoza,7,Cuatro Cienegas,Cuatro Cienegas-Coahuila de Zaragoza
5008,5,Coahuila de Zaragoza,8,Escobedo,Escobedo-Coahuila de Zaragoza
5009,5,Coahuila de Zaragoza,9,Francisco I. Madero,Francisco I. Madero-Coahuila de Zaragoza
5010,5,Coahuila de Zaragoza,10,Frontera,Frontera-Coahuila de Zaragoza
5011,5,Coahuila de Zaragoza,11,General Cepeda,General Cepeda-Coahuila de Zaragoza
5012,5,Coahuila de Zaragoza,12,Guerrero,Guerrero-Coahuila de Zaragoza
5014,5,Coahuila de Zaragoza,14,Jimenez,Jimenez-Coahuila de Zaragoza
5017,5,Coahuila de Zaragoza,17,Matamoros,Matamoros-Coahuila de Zaragoza
5018,5,Coahuila de Zaragoza,18,Monclova,Monclova-Coahuila de Zaragoza
5019,5,Coahuila de Zaragoza,19,Morelos,Morelos-Coahuila de Zaragoza
5020,5,Coahuila de Zaragoza,20,Muzquiz,Muzquiz-Coahuila de Zaragoza
5021,5,Coahuila de Zaragoza,21,Nadadores,Nadadores-Coahuila de Zaragoza
5022,5,Coahuila de Zaragoza,22,Nava,Nava-Coahuila de Zaragoza
5023,5,Coahuila de Zaragoza,23,Ocampo,Ocampo-Coahuila de Zaragoza
5024,5,Coahuila de Zaragoza,24,Parras,Parras-Coahuila de Zaragoza
5025,5,Coahuila de Zaragoza,25,Piedras Negras,Piedras Negras-Coahuila de Zaragoza
5027,5,Coahuila de Zaragoza,27,Ramos Arizpe,Ramos Arizpe-Coahuila de Zaragoza
5028,5,Coahuila de Zaragoza,28,Sabinas,Sabinas-Coahuila de Zaragoza
5030,5,Coahuila de Zaragoza,30,Saltillo,Saltillo-Coahuila de Zaragoza
5032,5,Coahuila de Zaragoza,32,San Juan De Sabinas,San Juan De Sabinas-Coahuila de Zaragoza
5033,5,Coahuila de Zaragoza,33,San Pedro,San Pedro-Coahuila de Zaragoza
5035,5,Coahuila de Zaragoza,35,Torreon,Torreon-Coahuila de Zaragoza
5036,5,Coahuila de Zaragoza,36,Viesca,Viesca-Coahuila de Zaragoza
5038,5,Coahuila de Zaragoza,38,Zaragoza,Zaragoza-Coahuila de Zaragoza
6001,6,Colima,1,Armeria,Armeria-Colima
6002,6,Colima,2,Colima,Colima-Colima
6003,6,Colima,3,Comala,Comala-Colima
6004,6,Colima,4,Coquimatlan,Coquimatlan-Colima
6005,6,Colima,5,Cuauhtemoc,Cuauhtemoc-Colima
6006,6,Colima,6,Ixtlahuacan,Ixtlahuacan-Colima
6007,6,Colima,7,Manzanillo,Manzanillo-Colima
6008,6,Colima,8,Minatitlan,Minatitlan-Colima
6009,6,Colima,9,Tecoman,Tecoman-Colima
6010,6,Colima,10,Villa De Alvarez,Villa De Alvarez-Colima
7002,7,Chiapas,2,Acala,Acala-Chiapas
7003,7,Chiapas,3,Acapetahua,Acapetahua-Chiapas
7005,7,Chiapas,5,Amatan,Amatan-Chiapas
7015,7,Chiapas,15,Cacahoatan,Cacahoatan-Chiapas
7017,7,Chiapas,17,Cintalapa,Cintalapa-Chiapas
7019,7,Chiapas,19,Comitan De Dominguez,Comitan De Dominguez-Chiapas
7021,7,Chiapas,21,Copainala,Copainala-Chiapas
7023,7,Chiapas,23,Chamula,Chamula-Chiapas
7027,7,Chiapas,27,Chiapa De Corzo,Chiapa De Corzo-Chiapas
7031,7,Chiapas,31,Chilon,Chilon-Chiapas
7040,7,Chiapas,40,Huixtla,Huixtla-Chiapas
7041,7,Chiapas,41,La Independencia,La Independencia-Chiapas
7044,7,Chiapas,44,Ixtapa,Ixtapa-Chiapas
7046,7,Chiapas,46,Jiquipilas,Jiquipilas-Chiapas
7051,7,Chiapas,51,Mapastepec,Mapastepec-Chiapas
7052,7,Chiapas,52,Las Margaritas,Las Margaritas-Chiapas
7059,7,Chiapas,59,Ocosingo,Ocosingo-Chiapas
7061,7,Chiapas,61,Ocozocoautla De Espinosa,Ocozocoautla De Espinosa-Chiapas
